NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
27;2021;1;3; D; 055.6; 065.8; 059.3; 050.1; 045.2; 042.5
28;2021;1;3; D; 066.6; 074.9; 070.9; 062.9; 051.6; 041.6
29;2021;1;3; D; 056.8; 065.5; 061.1; 052.5; 043.2; 035.9
30;2021;1;3; D; 057.8; 065.2; 061.1; 056.0; 047.2; 044.2
31;2021;1;3; D; 063.8; 073.4; 069.0; 056.6; 048.7; 046.0
47;2021;1;3; D; 053.4; 066.4; 054.1; 047.2; 042.5; 040.1
48;2021;1;3; D; 058.4; 065.3; 060.6; 057.4; 051.2; 043.3
54;2021;1;3; D; 059.3; 066.1; 062.7; 058.1; 048.1; 042.8
55;2021;1;3; D; 052.6; 061.7; 054.6; 048.9; 044.7; 042.2
86;2021;1;3; D; 056.6; 064.2; 057.6; 049.8; 043.4; 040.4
1;2021;1;3; E; 065.7; 071.3; 068.9; 063.9; 056.8; 052.5
2;2021;1;3; E; 067.2; 072.4; 069.1; 066.3; 062.5; 059.5
3;2021;1;3; E; 058.0; 067.6; 061.5; 054.5; 048.3; 044.3
5;2021;1;3; E; 059.3; 065.6; 062.5; 058.0; 053.4; 049.3
6;2021;1;3; E; 067.9; 073.2; 070.2; 065.3; 060.6; 056.7
8;2021;1;3; E; 065.2; 070.8; 067.6; 063.3; 058.6; 052.7
10;2021;1;3; E; 063.7; 071.8; 066.5; 058.9; 053.2; 049.9
11;2021;1;3; E; 066.2; 072.2; 069.4; 064.7; 057.4; 051.7
12;2021;1;3; E; 062.2; 071.4; 063.1; 059.3; 055.5; 052.2
13;2021;1;3; E; 055.2; 062.7; 057.9; 052.4; 047.7; 044.8
14;2021;1;3; E; 062.9; 069.4; 064.8; 061.9; 058.8; 055.9
16;2021;1;3; E; 060.7; 067.3; 064.1; 058.4; 048.4; 044.4
17;2021;1;3; E; 054.0; 062.1; 056.6; 051.4; 047.2; 043.3
18;2021;1;3; E; 052.6; 061.7; 055.8; 048.1; 043.5; 042.0
19;2021;1;3; E; 057.6; 066.8; 060.9; 054.2; 050.3; 048.1
20;2021;1;3; E; 060.9; 067.8; 061.9; 056.4; 050.4; 046.5
24;2021;1;3; E; 044.4; 053.3; 047.2; 041.2; 038.5; 038.0
25;2021;1;3; E; 066.2; 068.9; 067.7; 066.1; 064.0; 061.4
26;2021;1;3; E; 058.4; 067.3; 062.5; 054.9; 052.1; 050.0
27;2021;1;3; E; 053.8; 064.4; 057.2; 048.8; 045.5; 043.7
28;2021;1;3; E; 065.3; 074.0; 069.2; 061.6; 053.3; 047.4
29;2021;1;3; E; 057.3; 065.7; 060.5; 049.0; 040.6; 036.3
30;2021;1;3; E; 056.7; 064.8; 059.3; 053.3; 048.7; 046.8
31;2021;1;3; E; 064.4; 073.4; 069.1; 058.6; 051.2; 047.3
47;2021;1;3; E; 053.6; 066.8; 053.8; 047.4; 044.5; 043.0
48;2021;1;3; E; 059.0; 064.3; 060.9; 058.3; 055.1; 052.1
54;2021;1;3; E; 060.0; 066.8; 063.2; 058.7; 052.8; 047.1
55;2021;1;3; E; 053.7; 061.9; 054.4; 048.2; 044.7; 043.3
86;2021;1;3; E; 053.8; 062.0; 056.2; 049.0; 044.5; 041.0
1;2021;1;3; N; 060.8; 069.9; 065.7; 053.5; 042.9; 039.3
2;2021;1;3; N; 064.5; 071.6; 067.7; 061.8; 053.6; 048.2
3;2021;1;3; N; 053.8; 065.8; 054.2; 043.1; 040.2; 039.1
5;2021;1;3; N; 052.8; 062.0; 056.0; 043.2; 037.8; 037.1
6;2021;1;3; N; 063.5; 071.3; 065.5; 054.1; 043.2; 038.1
8;2021;1;3; N; 060.4; 069.9; 064.4; 054.4; 042.9; 039.4
10;2021;1;3; N; 058.2; 068.6; 058.7; 046.9; 045.3; 045.0
11;2021;1;3; N; 059.4; 070.2; 064.3; 047.0; 037.5; 036.3
12;2021;1;3; N; 056.5; 063.6; 058.4; 049.9; 044.9; 044.0
13;2021;1;3; N; 049.7; 060.7; 053.5; 039.0; 036.3; 035.2
14;2021;1;3; N; 058.4; 066.6; 062.8; 054.6; 045.4; 039.7
16;2021;1;3; N; 055.4; 066.2; 060.4; 039.6; 034.8; 034.0
17;2021;1;3; N; 047.2; 057.5; 049.6; 041.0; 036.2; 035.0
18;2021;1;3; N; 047.5; 058.2; 049.3; 039.4; 038.2; 038.0
19;2021;1;3; N; 057.4; 063.5; 054.9; 042.8; 033.8; 029.9
20;2021;1;3; N; 050.6; 062.8; 053.0; 040.7; 037.6; 037.1
