Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
2,Carlos V,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/carlos-v,1/1/2021,E,28b1092f0641adac20bff11d0983ff4c,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/28b1092f0641adac20bff11d0983ff4c,067.0,072.8,068.9,066.3,061.9,058.7
3,Plaza del Carmen,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/plaza-del-carmen,1/1/2021,E,07eeac5fa8764bd97e2d4a12e2259f4d,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/07eeac5fa8764bd97e2d4a12e2259f4d,055.7,066.1,058.9,050.7,046.2,042.9
5,Barrio del Pilar,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/barrio-del-pilar,1/1/2021,E,2573a9403e4038ae8267e500f6aa1c02,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/2573a9403e4038ae8267e500f6aa1c02,066.0,066.3,061.7,057.1,052.3,047.3
6,Gregorio Maranon,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/gregorio-maranon,1/1/2021,E,f0cbb5d7ae16e027567b204893d9832f,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/f0cbb5d7ae16e027567b204893d9832f,066.8,073.2,069.6,064.7,059.5,054.5
8,Escuelas Aguirre,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/escuelas-aguirre,1/1/2021,E,3c0fa9a103dc05fef54de9bbf3f740ee,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/3c0fa9a103dc05fef54de9bbf3f740ee,064.3,070.8,067.2,062.4,057.2,049.4
10,Cuatro Caminos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-caminos,1/1/2021,E,394182ece04b275c57ccfe75b24d0d88,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/394182ece04b275c57ccfe75b24d0d88,066.3,071.7,065.5,058.0,052.7,048.7
11,Ramon y Cajal,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ramon-y-cajal,1/1/2021,E,cdd7e1b1226f2b7326ef29a82787ac16,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/cdd7e1b1226f2b7326ef29a82787ac16,066.4,071.9,068.6,063.4,056.0,050.2
12,Manuel Becerra,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/manuel-becerra,1/1/2021,E,06f0a76413a08bf76b083de6784fb766,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/06f0a76413a08bf76b083de6784fb766,062.2,070.2,062.6,058.5,054.3,050.4
13,Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/vallecas,1/1/2021,E,e01962c945e83ed3009934e415cca853,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/e01962c945e83ed3009934e415cca853,055.7,064.5,058.2,052.1,047.1,043.7
14,Fernandez Ladreda,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/fernandez-ladreda,1/1/2021,E,79d98359f0d599da8dcd8e76fc1baecf,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/79d98359f0d599da8dcd8e76fc1baecf,062.8,068.0,064.5,061.4,058.1,055.5
